code_categorie,nom_categorie,description
CAT_ERR,Test Error,Trash Data: Technical test record to be filtered out
CAT_TEST,Categorie_temporaire,Catégorie de test à exclure
CAT01,Boissons,"Sodas, cafés, thés"
CAT02," BOISSONS",Duplicate of CAT01: Leading space and case mismatch
CAT03,Condiments,NULL
CAT04,Produits laitiers,"Fromages, yaourts et laitages"
CAT05,PRODUITS LAITIERS_,Semantic Duplicate: Same name as CAT04 in uppercase
CAT06,Grains/Céréales,"Riz, blé, pâtes..."
CAT07,Confitures & Sirops,Special characters: Ampersand might need encoding handling
CAT08,"  Viandes  ",Data Padding: Trailing and leading spaces in name
CAT09,"Boisson_  ",Trailing space in name
CAT10,boissons__,Lowercase duplicate of CAT01
CAT11,Snacks,
CAT12,Sn@cks,Invalid character @
CAT13,NULL,Missing category name
CAT14,Viandes,Same semantic as CAT08 but different naming
CAT15,Viandes!,Punctuation noise
CAT16,12345,Numeric category name
CAT17,Fruits & légumes,Special character &
CAT18,Fruits et legumes,Same as CAT17 without accents
CAT19,Boissons_sans_sucre,Boissons light ou zero
CAT20,Produits_bio,Produits issus de l agriculture biologique
CAT21,Plats_prepares,Plats prêts à consommer
CAT22,Produits_surgeles,Produits congelés
CAT23,Epicerie_salee,"Conserves, sauces, épices"
CAT24,Epicerie_sucree,"Biscuits, chocolat, confiseries"
CAT25,Produits_importes,Produits venant de l etranger
CAT26,Produits_locaux,Production locale
CAT27,Autres_produits,NULL

CAT28,Boissons_energetiques,"Boissons énergétiques"
CAT29,Boulangerie,"Pains, viennoiseries"
CAT30,Hygiene,"Soins et hygiène"

CAT31,Categorie_31,Description de la categorie 31
CAT32,Categorie_32,Description de la categorie 32
CAT33,Categorie_33,Description de la categorie 33
CAT34,Categorie_34,Description de la categorie 34
CAT35,Categorie_35,Description de la categorie 35
CAT36,Categorie_36,Description de la categorie 36
CAT37,Categorie_37,Description de la categorie 37
CAT38,Categorie_38,Description de la categorie 38
CAT39,Categorie_39,Description de la categorie 39
CAT40,Categorie_40,Description de la categorie 40
CAT41,Categorie_41,Description de la categorie 41
CAT42,Categorie_42,Description de la categorie 42
CAT43,Categorie_43,Description de la categorie 43
CAT44,Categorie_44,Description de la categorie 44
CAT45,Categorie_45,Description de la categorie 45
CAT46,Categorie_46,Description de la categorie 46
CAT47,Categorie_47,Description de la categorie 47
CAT48,Categorie_48,Description de la categorie 48
CAT49,Categorie_49,Description de la categorie 49
CAT50,Categorie_50,Description de la categorie 50
CAT51,Categorie_51,Description de la categorie 51
CAT52,Categorie_52,Description de la categorie 52
CAT53,Categorie_53,Description de la categorie 53
CAT54,Categorie_54,Description de la categorie 54
CAT55,Categorie_55,Description de la categorie 55
CAT56,Categorie_56,Description de la categorie 56
CAT57,Categorie_57,Description de la categorie 57
CAT58,Categorie_58,Description de la categorie 58
CAT59,Categorie_59,Description de la categorie 59
CAT60,Categorie_60,Description de la categorie 60
CAT61,Categorie_61,Description de la categorie 61
CAT62,Categorie_62,Description de la categorie 62
CAT63,Categorie_63,Description de la categorie 63
CAT64,Categorie_64,Description de la categorie 64
CAT65,Categorie_65,Description de la categorie 65
CAT66,Categorie_66,Description de la categorie 66
CAT67,Categorie_67,Description de la categorie 67
CAT68,Categorie_68,Description de la categorie 68
CAT69,Categorie_69,Description de la categorie 69
CAT70,Categorie_70,Description de la categorie 70
CAT71,Categorie_71,Description de la categorie 71
CAT72,Categorie_72,Description de la categorie 72
CAT73,Categorie_73,Description de la categorie 73
CAT74,Categorie_74,Description de la categorie 74
CAT75,Categorie_75,Description de la categorie 75
CAT76,Categorie_76,Description de la categorie 76
CAT77,Categorie_77,Description de la categorie 77
CAT78,Categorie_78,Description de la categorie 78
CAT79,Categorie_79,Description de la categorie 79
CAT80,Categorie_80,Description de la categorie 80
CAT81,Categorie_81,Description de la categorie 81
CAT82,Categorie_82,Description de la categorie 82
CAT83,Categorie_83,Description de la categorie 83
CAT84,Categorie_84,Description de la categorie 84
CAT85,Categorie_85,Description de la categorie 85
CAT86,Categorie_86,Description de la categorie 86
CAT87,Categorie_87,Description de la categorie 87
CAT88,Categorie_88,Description de la categorie 88
CAT89,Categorie_89,Description de la categorie 89
CAT90,Categorie_90,Description de la categorie 90
CAT91,Categorie_91,Description de la categorie 91
CAT92,Categorie_92,Description de la categorie 92
CAT93,Categorie_93,Description de la categorie 93
CAT94,Categorie_94,Description de la categorie 94
CAT95,Categorie_95,Description de la categorie 95
CAT96,Categorie_96,Description de la categorie 96
CAT97,Categorie_97,Description de la categorie 97
CAT98,Categorie_98,Description de la categorie 98
CAT99,Categorie_99,Description de la categorie 99
CAT100,Categorie_100,Description de la categorie 100
