num_commande,ref_produit,quantite,remise
C1001,P001,10,0
C1001,P003,1,0
C1002,P001,50,0.15
C1003,P004,1,0.05
C1005,P006,5,0
C1005,P007,2,0.1
C1006,P001,1,0
C1007,P008,10,0
C1008,P006,5,0
C1009,P010,1,0.5
C1010,P001,5,0
C1011,P001,1,0.5
C1012,P014,5,0
C2001,P020,1,0
C2001,P021,1,0
C2002,P022,10,0
C2003,P023,1,0
C2004,P024,1,0
C2005,P026,1,0
C2006,P027,1,0
C3001,P030,10,0
C3001,P031,10,0
C3002,P032,1,0
C3003,P033,10,0.2
C3004,P034,5,0
C3005,P035,2,0
C3006,P039,1,0
C4001,P040,2,0.1
C4001,P041,1,0.05
C4002,P042,3,0
C4002,P043,2,0
C4003,P044,4,0
C4003,P045,3,0
C4004,P046,5,0
C4004,P047,4,0
C4005,P048,6,0
C4005,P049,5,0.05
C4006,P020,7,0.1
C4006,P030,6,0
C4007,P034,8,0
C4007,P040,7,0
C4008,P041,9,0
C4008,P042,1,0
C4009,P043,10,0
C4009,P044,2,0.05
C4010,P045,2,0
C4010,P046,3,0
C4011,P047,3,0.1
C4011,P048,4,0
C4012,P049,4,0
C4012,P020,5,0
C4013,P030,5,0
C4013,P034,6,0.05
C4014,P040,6,0
C4014,P041,7,0
C4015,P042,7,0
C4015,P043,1,0
C4016,P044,8,0.1
C4016,P045,2,0
C4017,P046,9,0
C4017,P047,3,0.05
C4018,P048,10,0
C4018,P049,4,0
C4019,P020,2,0
C4019,P030,5,0
C4020,P034,3,0
C4020,P040,6,0
C4021,P041,4,0.1
C4021,P042,7,0.05
C4022,P043,5,0
C4022,P044,1,0
C4023,P045,6,0
C4023,P046,2,0
C4024,P047,7,0
C4024,P048,3,0
C4025,P049,8,0
C4025,P020,4,0.05
C4026,P030,9,0.1
C4026,P034,5,0
C4027,P040,10,0
C4027,P041,6,0
C4028,P042,2,0
C4028,P043,7,0
C4029,P044,3,0
C4029,P045,1,0.05
C4030,P046,4,0
C4030,P047,2,0
C4031,P048,5,0.1
C4031,P049,3,0
C4032,P020,6,0
C4032,P030,4,0
C4033,P034,7,0
C4033,P040,5,0.05
C4034,P041,8,0
C4034,P042,6,0
C4035,P043,9,0
C4035,P044,7,0
C4036,P045,10,0.1
C4036,P046,1,0
C4037,P047,2,0
C4037,P048,2,0.05
C4038,P049,3,0
C4038,P020,3,0
C4039,P030,4,0
C4039,P034,4,0
C4040,P040,5,0
C4040,P041,5,0
C4041,P042,6,0.1
C4041,P043,6,0.05
C4042,P044,7,0
C4042,P045,7,0
C4043,P046,8,0
C4043,P047,1,0
C4044,P048,9,0
C4044,P049,2,0
C4045,P020,10,0
C4045,P030,3,0.05
C4046,P034,2,0.1
C4046,P040,4,0
C4047,P041,3,0
C4047,P042,5,0
C4048,P043,4,0
C4048,P044,6,0
C4049,P045,5,0
C4049,P046,7,0.05
C4050,P047,6,0
C4050,P048,1,0
C4051,P049,7,0.1
C4051,P020,2,0
C4052,P030,8,0
C4052,P034,3,0
C4053,P040,9,0
C4053,P041,4,0.05
C4054,P042,10,0
C4054,P043,5,0
C4055,P044,2,0
C4055,P045,6,0
C4056,P046,3,0.1
C4056,P047,7,0
C4057,P048,4,0
C4057,P049,1,0.05
C4058,P020,5,0
C4058,P030,2,0
C4059,P034,6,0
C4059,P040,3,0
C4060,P041,7,0
C4060,P042,4,0
C4061,P043,8,0.1
C4061,P044,5,0.05
C4062,P045,9,0
C4062,P046,6,0
C4063,P047,10,0
C4063,P048,7,0
C4064,P049,2,0
C4064,P020,1,0
C4065,P030,3,0
C4065,P034,2,0.05
C4066,P040,4,0.1
C4066,P041,3,0
C4067,P042,5,0
C4067,P043,4,0

C3007,P040,12,0.05
C3007,P047,20,0
C3008,P046,5,0
C3008,P049,2,0.1
C3009,P041,24,0
C3009,P043,10,0
C3010,P045,10,0
C3010,P048,15,0
